heading,word1UI,word1,word2UI,word2
,D000077287,etiracetam,D000927,anticonvulsivantes
,D000077287,etiracetam,D018697,nootrópicos
,D000077289,letrozol,D000970,antineoplásicos
,D000077291,terbinafina,D000935,antifúngicos
,D000077300,bosentana,D000959,anti-hipertensivos
,D000077332,artesunato,D000962,antimaláricos
,D000077332,artesunato,D000970,antineoplásicos
,D000077332,artesunato,D000998,antivirais
,D000077332,artesunato,D012556,esquistossomicidas
,D000077333,telmisartan,D000959,anti-hipertensivos
,D000077336,caspofungina,D000935,antifúngicos
,D000077337,vorinostat,D000970,antineoplásicos
,D000077338,latanoprosta,D000959,anti-hipertensivos
,D000077339,leflunomida,D007166,imunossupressores
,D000077341,gw572016,D000970,antineoplásicos
,D000077402,pantoprazol,D000897,antiulcerosos
,D000077407,cilostazol,D001993,broncodilatadores
,D000077407,cilostazol,D005343,fibrinolíticos
,D000077407,cilostazol,D014665,vasodilatadores
,D000077422,enrofloxacina,D000900,antibacterianos
,D000077423,polidocanol,D003902,detergentes
,D000077465,cabergolina,D000978,antiparkinsonianos
,D000077483,256u87,D000998,antivirais
,D000077484,plx4032,D000970,antineoplásicos
,D000077485,glucantime,D000981,antiprotozoários
,D000077487,pramipexol,D000975,antioxidantes
,D000077487,pramipexol,D000978,antiparkinsonianos
,D000077489,piperazina,D000969,antinematódeos
,D000077525,cefdinir,D000900,antibacterianos
,D000077526,tropizetrona,D000932,antieméticos
,D000077545,eplerenona,D000959,anti-hipertensivos
,D000077546,roscovitina,D000970,antineoplásicos
,D000077546,roscovitina,D000998,antivirais
,D000077547,pf-02341066,D000970,antineoplásicos
,D000077549,artemeter,D000962,antimaláricos
,D000077552,basiliximab,D007166,imunossupressores
,D000077555,depo-medrol,D000893,anti-inflamatórios
,D000077556,alitretinoína,D000970,antineoplásicos
,D000077561,zenapax,D007166,imunossupressores
,D000077562,valganciclovir,D000998,antivirais
,D000077582,sultoprida,D014150,antipsicóticos
,D000077583,quinapril,D000959,anti-hipertensivos
,D000077584,2-metoxiestradiol,D000970,antineoplásicos
,D000077585,terlipressina,D000959,anti-hipertensivos
,D000077585,terlipressina,D014662,vasoconstritores
,D000077589,sulfatiazol,D000890,anti-infecciosos
,D000077591,eucaliptol,D000890,anti-infecciosos
,D000077591,eucaliptol,D000996,antitussígenos
,D000077591,eucaliptol,D005421,aromatizantes
,D000077591,eucaliptol,D012997,solventes
,D000077595,famciclovir,D000998,antivirais
,D000077597,vildagliptina,D007004,hipoglicemiantes
,D000077604,fomepizol,D000931,antídotos
,D000077611,cgp-56697,D000962,antimaláricos
,D000077682,triclabendazol,D000980,antiplatelmínticos
,D000077712,telbivudina,D000998,antivirais
,D000077716,gilotrif,D000970,antineoplásicos
,D000077723,cefepima,D000900,antibacterianos
,D000077726,doripenem,D000900,antibacterianos
,D000077727,ertapenem,D000900,antibacterianos
,D000077731,meropeném,D000900,antibacterianos
,D000077732,fidaxomicina,D000900,antibacterianos
,D000077735,gemifloxacina,D000900,antibacterianos
,D000077764,dronedarona,D000889,antiarrítmicos
,D000077767,lbh589,D000970,antineoplásicos
,D000077768,ciclopirox,D000935,antifúngicos
,D000077769,rilmenidina,D000959,anti-hipertensivos
,D000077769,rilmenidina,D013565,simpatolíticos
,D000077785,tenecteplase,D005343,fibrinolíticos
,D000077786,torasemida,D000959,anti-hipertensivos
,D000077786,torasemida,D004232,diuréticos
,D000077867,ro-40-7592,D000978,antiparkinsonianos
,D000077922,tiametoxam,D007306,inseticidas
,D000077924,palonossetrom,D000932,antieméticos
,D000078102,lumefantrina,D000962,antimaláricos
,D000078142,tazobactam,D000900,antibacterianos
,D000078162,tobradex,D000893,anti-inflamatórios
,D000078162,tobradex,D000900,antibacterianos
,D000078162,tobradex,D005938,glucocorticoides
,D000078223,5-metoxipsoraleno,D000893,anti-inflamatórios
,D000078262,rifaximina,D000900,antibacterianos
,D000078304,tigeciclina,D000900,antibacterianos
,D000078305,zonisamida,D000927,anticonvulsivantes
,D000078306,clobazam,D000927,anticonvulsivantes
,D000078306,clobazam,D014151,ansiolíticos
,D000078308,tiagabina,D000927,anticonvulsivantes
,D000078328,felbamato,D000927,anticonvulsivantes
,D000078330,oxcarbazepina,D000927,anticonvulsivantes
,D000078334,lacosamida,D000927,anticonvulsivantes
,D000078785,mirtazapina,D000928,antidepressivos
,D000078785,mirtazapina,D014151,ansiolíticos
,D000078862,levomilnaciprano,D000928,antidepressivos
,D000082,acetaminofen,D058633,antipiréticos
,D000086,acetazolamida,D000927,anticonvulsivantes
,D000086,acetazolamida,D004232,diuréticos
,D000092,acetoexamida,D007004,hipoglicemiantes
,D000096,acetona,D012997,solventes
,D000099,acetoxiacetilaminofluoreno,D000477,alquilantes
,D000108,acetilcarnitina,D018697,nootrópicos
,D000109,acetilcolina,D014665,vasodilatadores
,D000111,acetilcisteína,D000998,antivirais
,D000111,acetilcisteína,D005100,expectorantes
,D000112,acetildigitoxinas,D000889,antiarrítmicos
,D000112,acetildigitoxinas,D002316,cardiotônicos
,D000113,acetildigoxinas,D000889,antiarrítmicos
,D000113,acetildigoxinas,D002316,cardiotônicos
,D000120,acecainida,D000889,antiarrítmicos
,D000181,acrilonitrila,D002273,carcinógenos
,D000198,espectinomicina,D000900,antibacterianos
,D000212,aciclovir,D000998,antivirais
,D000241,adenosina,D000700,analgésicos
,D000241,adenosina,D000889,antiarrítmicos
,D000241,adenosina,D014665,vasodilatadores
,D000348,aflatoxinas,D011042,venenos
,D000404,ajmalina,D000889,antiarrítmicos
,D000408,alameticina,D000900,antibacterianos
,D000408,alameticina,D007476,ionóforos
,D000408,alameticina,D014475,desacopladores
,D000420,albuterol,D001993,broncodilatadores
,D000420,albuterol,D015149,tocolíticos
,D000431,etanol,D012997,solventes
,D000432,metanol,D012997,solventes
,D000448,aldicarb,D007306,inseticidas
,D000452,aldrina,D007306,inseticidas
,D000487,aletrina,D007306,inseticidas
,D000493,alopurinol,D000963,antimetabólitos
,D000500,alilestrenol,D011372,progestinas
,D000501,alilglicina,D003292,convulsivantes
,D000518,eflornitina,D000970,antineoplásicos
,D000518,eflornitina,D014344,tripanossomicidas
,D000521,alfa-msh,D006728,hormônios
,D000522,alfaprodina,D009294,entorpecentes
,D000523,algestona,D011372,progestinas
,D000525,alprazolam,D014151,ansiolíticos
,D000526,alprenolol,D000889,antiarrítmicos
,D000526,alprenolol,D000959,anti-hipertensivos
,D000526,alprenolol,D013565,simpatolíticos
,D000527,alprostadil,D014665,vasodilatadores
,D000546,amanitinas,D011042,venenos
,D000547,amantadina,D000978,antiparkinsonianos
,D000547,amantadina,D000998,antivirais
,D000547,amantadina,D015259,dopaminérgicos
,D000551,ambroxol,D005100,expectorantes
,D000560,andinocilina,D000900,antibacterianos
,D000583,amicacina,D000900,antibacterianos
,D000584,amilorida,D004232,diuréticos
,D000585,aminacrina,D009153,mutagênicos
,D000628,aminofilina,D001993,broncodilatadores
,D000628,aminofilina,D002316,cardiotônicos
,D000638,amiodarona,D000889,antiarrítmicos
,D000638,amiodarona,D014665,vasodilatadores
,D000655,amodiaquina,D000962,antimaláricos
,D000658,amoxicilina,D000900,antibacterianos
,D000661,anfetamina,D013566,simpatomiméticos
,D000661,anfetamina,D015259,dopaminérgicos
,D000661,anfetamina,D018663,adrenérgicos
,D000667,ampicilina,D000900,antibacterianos
,D000670,amprólio,D003049,coccidiostáticos
,D000676,amrinona,D002316,cardiotônicos
,D000676,amrinona,D014665,vasodilatadores
,D000677,amsacrina,D000970,antineoplásicos
,D000691,anabasina,D007306,inseticidas
,D000721,ancrod,D000925,anticoagulantes
,D000721,ancrod,D005343,fibrinolíticos
,D000841,anisomicina,D000900,antibacterianos
,D000841,anisomicina,D000981,antiprotozoários
,D000865,antazolina,D018926,antialérgicos
,D000899,aurodox,D000900,antibacterianos
,D001032,apazona,D014528,uricosúricos
,D001058,apomorfina,D004639,eméticos
,D001073,aprindina,D000889,antiarrítmicos
,D001074,propoxur,D007306,inseticidas
,D001101,arbaprostilo,D000897,antiulcerosos
,D001148,arsenamida,D005369,filaricidas
,D001153,arsfenamina,D000993,antitreponêmicos
,D001194,asbestos,D002273,carcinógenos
,D001215,asparaginase,D000970,antineoplásicos
,D001218,aspartame,D013549,edulcorantes
,D001241,aspirina,D005343,fibrinolíticos
,D001241,aspirina,D058633,antipiréticos
,D001262,atenolol,D000889,antiarrítmicos
,D001262,atenolol,D000959,anti-hipertensivos
,D001262,atenolol,D013565,simpatolíticos
,D001280,atrazina,D006540,herbicidas
,D001285,atropina,D000889,antiarrítmicos
,D001285,atropina,D001993,broncodilatadores
,D001285,atropina,D009184,midriáticos
,D001285,atropina,D010276,parassimpatolíticos
,D001310,auranofina,D018501,antirreumáticos
,D001313,aurovertinas,D014475,desacopladores
,D001373,azacosterol,D000924,anticolesterolemiantes
,D001376,azaperona,D014150,antipsicóticos
,D001377,azasserina,D000935,antifúngicos
,D001377,azasserina,D007166,imunossupressores
,D001379,azatioprina,D000963,antimetabólitos
,D001379,azatioprina,D007166,imunossupressores
,D001379,azatioprina,D018501,antirreumáticos
,D001387,azinfos-metil,D007306,inseticidas
,D001387,azinfos-metil,D056810,acaricidas
,D001390,azlocilina,D000900,antibacterianos
,D001397,azoximetano,D002273,carcinógenos
,D001398,aztreonam,D000900,antibacterianos
,D001414,bacitracina,D000900,antibacterianos
,D001430,bacteriocinas,D000900,antibacterianos
,D001455,bambermicinas,D000900,antibacterianos
,D001507,beclometasona,D000893,anti-inflamatórios
,D001507,beclometasona,D005938,glucocorticoides
,D001507,beclometasona,D018927,antiasmáticos
,D001534,bemegrida,D003292,convulsivantes
,D001535,benactizina,D000928,antidepressivos
,D001535,benactizina,D010276,parassimpatolíticos
,D001537,benciclano,D014665,vasodilatadores
,D001539,bendroflumetiazida,D000959,anti-hipertensivos
,D001539,bendroflumetiazida,D004232,diuréticos
,D001542,benomilo,D000871,anti-helmínticos
,D001544,bemperidol,D014150,antipsicóticos
,D001545,benserazida,D000978,antiparkinsonianos
,D001545,benserazida,D015259,dopaminérgicos
,D001546,bentonita,D000931,antídotos
,D001548,benzalcônio,D003902,detergentes
,D001553,benzobromarona,D014528,uricosúricos
,D001556,hexaclorocicloexano,D007306,inseticidas
,D001576,benzofenoneídio,D000890,anti-infecciosos
,D001576,benzofenoneídio,D004202,desinfetantes
,D001576,benzofenoneídio,D004396,corantes
,D001589,benzfetamina,D013566,simpatomiméticos
,D001589,benzfetamina,D015259,dopaminérgicos
,D001589,benzfetamina,D018663,adrenérgicos
,D001590,benzotropina,D000978,antiparkinsonianos
,D001590,benzotropina,D010276,parassimpatolíticos
,D001591,benzidamina,D000893,anti-inflamatórios
,D001615,beta-endorfina,D018377,neurotransmissores
,D001621,beta-histina,D014665,vasodilatadores
,D001622,betaína,D008082,lipotrópicos
,D001623,betametasona,D000893,anti-inflamatórios
,D001623,betametasona,D005938,glucocorticoides
,D001623,betametasona,D018927,antiasmáticos
,D001627,betanidina,D000959,anti-hipertensivos
,D001627,betanidina,D013565,simpatolíticos
,D001627,betanidina,D018663,adrenérgicos
,D001629,bezafibrato,D000960,hipolipemiantes
,D001639,bicarbonatos,D002021,tampões
,D001640,bicuculina,D003292,convulsivantes
,D001645,biguanidas,D007004,hipoglicemiantes
,D001663,bilirrubina,D000975,antioxidantes
,D001712,biperideno,D000978,antiparkinsonianos
,D001712,biperideno,D010276,parassimpatolíticos
,D001726,bisacodil,D002400,catárticos
,D001726,bisacodil,D054368,laxantes
,D001728,dicumarol,D000925,anticoagulantes
,D001728,dicumarol,D014475,desacopladores
,D001729,bismuto,D000863,antiácidos
,D001735,bitionol,D000980,antiplatelmínticos
,D001839,bombesina,D018377,neurotransmissores
,D001895,boro,D014131,oligoelementos
,D001920,bradicinina,D014665,vasodilatadores
,D001954,brinolase,D005343,fibrinolíticos
,D001960,bromazepam,D014151,ansiolíticos
,D001964,bromoexina,D005100,expectorantes
,D001965,brometos,D000927,anticonvulsivantes
,D001971,bromocriptina,D000978,antiparkinsonianos
,D001973,bromodesoxiuridina,D000963,antimetabólitos
,D001973,bromodesoxiuridina,D000998,antivirais
,D001973,bromodesoxiuridina,D011838,radiossensibilizantes
,D001976,bromouracila,D000963,antimetabólitos
,D001976,bromouracila,D009153,mutagênicos
,D001977,bromofeniramina,D018926,antialérgicos
,D002018,bufanolídeos,D002316,cardiotônicos
,D002026,buformina,D007004,hipoglicemiantes
,D002027,bufotenina,D006213,alucinógenos
,D002034,bumetanida,D004232,diuréticos
,D002035,bunaftina,D000889,antiarrítmicos
,D002040,levobunolol,D013565,simpatolíticos
,D002046,bupranolol,D000889,antiarrítmicos
,D002046,bupranolol,D000959,anti-hipertensivos
,D002047,buprenorfina,D009294,entorpecentes
,D002049,burimamida,D000897,antiulcerosos
,D002065,buspirona,D014151,ansiolíticos
,D002066,bussulfano,D000477,alquilantes
,D002066,bussulfano,D007166,imunossupressores
,D002069,butaclamol,D014150,antipsicóticos
,D002077,butorfanol,D000996,antitussígenos
,D002077,butorfanol,D009294,entorpecentes
,D002078,butoxamina,D000960,hipolipemiantes
,D002078,butoxamina,D007004,hipoglicemiantes
,D002078,butoxamina,D013565,simpatolíticos
,D002112,calcifediol,D014815,vitaminas
,D002117,calcitriol,D014815,vitaminas
,D002159,cambendazol,D000969,antinematódeos
,D002174,candicidina,D000900,antibacterianos
,D002174,candicidina,D000935,antifúngicos
,D002193,cantaridas,D007509,irritantes
,D002211,capsaicina,D000982,antipruriginosos
,D002216,captopril,D000959,anti-hipertensivos
,D002217,carbacol,D002316,cardiotônicos
,D002217,carbacol,D008916,mióticos
,D002218,carbadox,D000890,anti-infecciosos
,D002218,carbadox,D002273,carcinógenos
,D002218,carbadox,D009153,mutagênicos
,D002220,carbamazepina,D000927,anticonvulsivantes
,D002220,carbamazepina,D018692,antimaníacos
,D002228,carbenicilina,D000900,antibacterianos
,D002229,carbenoxolona,D000897,antiulcerosos
,D002230,carbidopa,D000978,antiparkinsonianos
,D002230,carbidopa,D015259,dopaminérgicos
,D002231,carbimazol,D013956,antitireóideos
,D002232,carbocianinas,D004396,corantes
,D002233,carbocisteína,D005100,expectorantes
,D002235,carbofurano,D000969,antinematódeos
,D002235,carbofurano,D007306,inseticidas
,D002260,carboprosta,D010120,ocitócicos
,D002271,butilcarbamida,D007004,hipoglicemiantes
,D002323,carfecilina,D000900,antibacterianos
,D002329,carmim,D004396,corantes
,D002338,carotenos,D000975,antioxidantes
,D002354,carteolol,D000889,antiarrítmicos
,D002354,carteolol,D000959,anti-hipertensivos
,D002354,carteolol,D013565,simpatolíticos
,D002362,cáscara,D002400,catárticos
,D002364,caseínas,D002614,quelantes
,D002374,catalase,D000975,antioxidantes
,D002433,cefaclor,D000900,antibacterianos
,D002434,cefadroxila,D000900,antibacterianos
,D002435,cefamandol,D000900,antibacterianos
,D002436,cefatrizina,D000900,antibacterianos
,D002437,cefazolina,D000900,antibacterianos
,D002438,cefoperazona,D000900,antibacterianos
,D002439,cefotaxima,D000900,antibacterianos
,D002440,cefoxitina,D000900,antibacterianos
,D002441,cefsulodina,D000900,antibacterianos
,D002442,ceftazidima,D000900,antibacterianos
,D002443,ceftriaxona,D000900,antibacterianos
,D002444,cefuroxima,D000900,antibacterianos
,D002504,meclofenoxate,D018697,nootrópicos
,D002505,cefacetrila,D000900,antibacterianos
,D002506,cefalexina,D000900,antibacterianos
,D002507,cefaloglicina,D000900,antibacterianos
,D002509,cefaloridina,D000900,antibacterianos
,D002511,cefalosporinas,D000900,antibacterianos
,D002512,cefalotina,D000900,antibacterianos
,D002513,cefamicinas,D000900,antibacterianos
,D002514,cefapirina,D000900,antibacterianos
,D002515,cefradina,D000900,antibacterianos
,D002569,cerulenina,D000935,antifúngicos
,D002592,cetomacrogol,D013501,tensoativos
,D002594,cetilpiridínio,D003902,detergentes
,D002701,cloranfenicol,D000900,antibacterianos
,D002706,clordano,D007306,inseticidas
,D002707,clordiazepóxido,D014151,ansiolíticos
,D002709,clorfenvinfos,D007306,inseticidas
,D002709,clorfenvinfos,D056810,acaricidas
,D002710,clorexidina,D004202,desinfetantes
,D002714,clorisondamina,D000959,anti-hipertensivos
,D002719,clormetiazol,D000927,anticonvulsivantes
,D002720,clormezanona,D014151,ansiolíticos
,D002721,ômega-cloroacetofenona,D007509,irritantes
,D002725,clorofórmio,D012997,solventes
,D002727,proguanil,D000962,antimaláricos
,D002727,proguanil,D000963,antimetabólitos
,D002738,cloroquina,D000563,amebicidas
,D002738,cloroquina,D000962,antimaláricos
,D002738,cloroquina,D018501,antirreumáticos
,D002739,cloroquinolinóis,D000563,amebicidas
,D002740,clorotiazida,D000959,anti-hipertensivos
,D002740,clorotiazida,D004232,diuréticos
,D002742,clorfenamidina,D007306,inseticidas
,D002742,clorfenamidina,D014475,desacopladores
,D002744,clorfeniramina,D000982,antipruriginosos
,D002744,clorfeniramina,D018926,antialérgicos
,D002745,clorfentermina,D013566,simpatomiméticos
,D002746,clorpromazina,D000932,antieméticos
,D002746,clorpromazina,D014150,antipsicóticos
,D002747,clorpropamida,D007004,hipoglicemiantes
,D002748,clorprofam,D006540,herbicidas
,D002749,clorprotixeno,D014150,antipsicóticos
,D002750,clorquinaldol,D000890,anti-infecciosos
,D002751,clortetraciclina,D000900,antibacterianos
,D002751,clortetraciclina,D000981,antiprotozoários
,D002752,clortalidona,D000959,anti-hipertensivos
,D002752,clortalidona,D004232,diuréticos
,D002762,colecalciferol,D014815,vitaminas
,D002794,colina,D008082,lipotrópicos
,D002794,colina,D018697,nootrópicos
,D002857,cromo,D014131,oligoelementos
,D002866,cromonar,D014665,vasodilatadores
,D002922,ciguatoxinas,D011042,venenos
,D002927,cimetidina,D000897,antiulcerosos
,D002937,cinoxacino,D000890,anti-infecciosos
,D002939,ciprofloxacino,D000900,antibacterianos
,D002945,cisplatino,D000970,antineoplásicos
,D002945,cisplatino,D011838,radiossensibilizantes
,D002953,citrinina,D000900,antibacterianos
,D002955,leucovorina,D000931,antídotos
,D002974,clemastina,D000982,antipruriginosos
,D002974,clemastina,D018926,antialérgicos
,D002976,clembuterol,D001993,broncodilatadores
,D002976,clembuterol,D013566,simpatomiméticos
,D002981,clindamicina,D000900,antibacterianos
,D002990,clobetasol,D000893,anti-inflamatórios
,D002990,clobetasol,D005938,glucocorticoides
,D002991,clofazimina,D000893,anti-inflamatórios
,D002991,clofazimina,D007917,hansenostáticos
,D002992,clofenapato,D000960,hipolipemiantes
,D002994,clofibrato,D000924,anticolesterolemiantes
,D002994,clofibrato,D000960,hipolipemiantes
,D002998,clonazepam,D000927,anticonvulsivantes
,D003000,clonidina,D000700,analgésicos
,D003000,clonidina,D000959,anti-hipertensivos
,D003000,clonidina,D013565,simpatolíticos
,D003005,clopamida,D004232,diuréticos
,D003006,clopentixol,D014150,antipsicóticos
,D003007,clopidol,D003049,coccidiostáticos
,D003008,cloprostenol,D008186,luteolíticos
,D003009,clorazepato,D000927,anticonvulsivantes
,D003009,clorazepato,D014151,ansiolíticos
,D003010,clorgilina,D000928,antidepressivos
,D003022,clotrimazol,D000935,antifúngicos
,D003023,cloxacilina,D000900,antibacterianos
,D003024,clozapina,D014150,antipsicóticos
,D003033,alcatrão,D007641,ceratolíticos
,D003035,cobalto,D014131,oligoelementos
,D003042,cocaína,D014662,vasoconstritores
,D003061,codeína,D000996,antitussígenos
,D003061,codeína,D009294,entorpecentes
,D003070,coformicina,D007166,imunossupressores
,D003084,colestipol,D000960,hipolipemiantes
,D003084,colestipol,D064449,sequestrantes
,D003091,colistina,D000900,antibacterianos
,D003300,cobre,D014131,oligoelementos
,D003345,corticosterona,D000893,anti-inflamatórios
,D003348,cortisona,D000893,anti-inflamatórios
,D003366,cosintropina,D006728,hormônios
,D003372,cumafos,D000871,anti-helmínticos
,D003372,cumafos,D000969,antinematódeos
,D003372,cumafos,D007306,inseticidas
,D003375,cumestrol,D048789,fitoestrógenos
,D003471,cuprizona,D002614,quelantes
,D003474,curcumina,D000970,antineoplásicos
,D003474,curcumina,D004396,corantes
,D003492,cicasina,D002273,carcinógenos
,D003492,cicasina,D009498,neurotoxinas
,D003493,ciclacilina,D000900,antibacterianos
,D003494,ciclamatos,D013549,edulcorantes
,D003495,ciclandelato,D014665,vasodilatadores
,D003501,ciclizina,D000932,antieméticos
,D003513,cicloeximida,D000935,antifúngicos
,D003518,ciclopentiazida,D000959,anti-hipertensivos
,D003518,ciclopentiazida,D004232,diuréticos
,D003519,ciclopentolato,D009184,midriáticos
,D003519,ciclopentolato,D010276,parassimpatolíticos
,D003520,ciclofosfamida,D007166,imunossupressores
,D003520,ciclofosfamida,D009153,mutagênicos
,D003520,ciclofosfamida,D018501,antirreumáticos
,D003523,ciclosserina,D000963,antimetabólitos
,D003524,ciclosporinas,D007166,imunossupressores
,D003529,cimarina,D000889,antiarrítmicos
,D003529,cimarina,D002316,cardiotônicos
,D003533,ciproeptadina,D000982,antipruriginosos
,D003533,ciproeptadina,D018926,antialérgicos
,D003561,citarabina,D000998,antivirais
,D003561,citarabina,D007166,imunossupressores
,D003609,actinomicina,D000900,antibacterianos
,D003622,dapsona,D000890,anti-infecciosos
,D003622,dapsona,D000962,antimaláricos
,D003622,dapsona,D007917,hansenostáticos
,D003632,diclorodifenildicloroetano,D007306,inseticidas
,D003642,deanol,D000928,antidepressivos
,D003642,deanol,D018726,antidiscinéticos
,D003647,debrisoquina,D000959,anti-hipertensivos
,D003647,debrisoquina,D013565,simpatolíticos
,D003647,debrisoquina,D018663,adrenérgicos
,D003667,decoquinato,D003049,coccidiostáticos
,D003676,desferroxamina,D017262,sideróforos
,D003684,desidrocolesteróis,D000072664,provitaminas
,D003707,demeclociclina,D000900,antibacterianos
,D003708,nordazepam,D014151,ansiolíticos
,D003847,desoxiglucose,D000963,antimetabólitos
,D003847,desoxiglucose,D000998,antivirais
,D003857,desoxiuridina,D000963,antimetabólitos
,D003892,deslanosídeo,D000889,antiarrítmicos
,D003892,deslanosídeo,D002316,cardiotônicos
,D003898,desonida,D000893,anti-inflamatórios
,D003899,desoximetasona,D000893,anti-inflamatórios
,D003899,desoximetasona,D005938,glucocorticoides
,D003900,desoxicorticosterona,D008901,mineralocorticoides
,D003907,dexametasona,D000893,anti-inflamatórios
,D003907,dexametasona,D000932,antieméticos
,D003907,dexametasona,D005938,glucocorticoides
,D003909,benzetimida,D000978,antiparkinsonianos
,D003909,benzetimida,D010276,parassimpatolíticos
,D003911,dextranos,D000925,anticoagulantes
,D003915,dextrometorfano,D000996,antitussígenos
,D003916,dextromoramida,D009294,entorpecentes
,D003932,heroína,D009294,entorpecentes
,D003957,diamfenetida,D000980,antiplatelmínticos
